user_id,full_name,e-mail,active
0,БЕЛОВ ЮРИЙ РАШИДОВИЧ,golden972@gmail.com,True
1,ЛАРИНА ГУЛЬНАРА ПЕТРОВНА,diatribe88@gmail.com,True
2,КОВАЛЕНКО ИЛЬЯ ПЕТРОВИЧ,vestry@yandex.ru,True
3,МАЛЬЦЕВ ДМИТРИЙ АЛЬБЕРТОВИЧ,known27@mail.ru,True
4,САФОНОВА АЛИНА АНТОНОВНА,superstitious7@list.ru,True
5,ПЛАТОНОВА МАРИНА СЕРГЕЕВНА,panjandrum7@gmail.com,True
6,РЫБАКОВ РАШИД РАИСОВИЧ,Cooke88@gmail.com,True
7,ОРЛОВА АЛЕНА ГЕННАДЬЕВНА,Waterhouse1@yandex.ru,True
8,СУВОРОВА ТАМАРА ВЯЧЕСЛАВОВНА,mitosis32@mail.ru,True
9,МЕДВЕДЕВА АЛИСА ИВАНОВНА,flee422@gmail.com,True
10,ПОЛЯКОВ АСЛАН КОНСТАНТИНОВИЧ,embroider8@yandex.ru,True
11,ГРОМОВА АРИНА ВАЛЕНТИНОВНА,Chisholm@list.ru,True
12,МАРКИНА ЮЛИЯ КИРИЛЛОВНА,fulfill65@mail.ru,True
13,ЖУРАВЛЕВ ВЯЧЕСЛАВ МАРАТОВИЧ,Poincare@list.ru,True
14,МИТРОФАНОВ АРТУР ВАЛЕНТИНОВИЧ,scramble809@yandex.ru,True
15,ПЛОТНИКОВ РУСТЕМ РУСЛАНОВИЧ,Kepler8@mail.ru,True
16,КОЖЕВНИКОВА ЛУИЗА СЕМЕНОВНА,acetaminophen4@yandex.ru,True
17,ПАНИН ДМИТРИЙ РУСЛАНОВИЧ,avocate@yandex.ru,True
18,АГЕЕВА ЭЛИНА МАРАТОВНА,Gleason@yandex.ru,True
19,ФЕДОРОВ КОНСТАНТИН ЕВГЕНЬЕВИЧ,whereof1@mail.ru,True
20,АНТИПОВ СЕМЕН ВЯЧЕСЛАВОВИЧ,Vietnamese@gmail.com,True
